name,duration,genre,release_date,directors,stars
Three Stooges & w C Fields (DVD),198,Comedy,12/04/2012,,"Larry Fine, Moe Howard, W.C. Fields, Curly Howard"
My Big Fat Greek Wedding (Blu-ray),95 min,Comedy,11/04/2014,Joel Zwick,"Lainie Kazan, John Corbett, Michael Constantine, Andrea Martin, Nia Vardalos"
Herbie: 4-Movie Collection (DVD),401,Action & Adventure,09/02/2012,James Cameron,"Dick Warlock, Christopher Murphy, Michael Biehn, Kimberly Scott, John Bedford Lloyd, Mary Elizabeth Mastrantonio, Jimmie Ray Weeks, J.C. Quinn, Todd Graff, J. Kenneth Campbell, Leo Burmester, George Robert Klek, James Cameron, Ed Harris, Adam Nelson"
"Gunsmoke: The Second Season, Volume 1 (DVD)",526 min,,01/08/2008,,"John Smith, Malcolm Atterbury, Ross Ford, Constance Ford, Michael Emmett, Gene O'Donnell, Joe de Santis, K.L. Smith, Dorothy Adams, Bert Rumsey, Jack Diamond, Peter J. Votrian, Julie Van Zandt, Alexander Lockwood, Theo Marcuse, Johnny McGough, Simon Oakland, Stuart Whitman, Peg Hillias, Denver Pyle, Fintan Meyler, Joseph Mell, Mickey Simpson, Fredd Wayne, Harry Townes, Dennis Weaver, Tige Andrews, Tommy Kirk, Sidney Clute, Liam Sullivan, Robert H. Harris, Jess Kirkpatrick, Jack Kruschen, Vivi Janiss, James Arness, Richard Deacon, Amanda Blake, Herbert Lytton, Gage Clarke, Claude Akins, Rocky Shahan, Ray Bennett, Mason Curry, Philip Bourneuf, Tyler McVey, Paul Lambert, Bartlett Robinson, Herbert Rudley, Abel Fernandez, Paul Wexler, Grant Withers, Robert Keys, Barney Phillips, Jacques Aubuchon, Marianne Stewart, Frank de Kova, Cyril Delevanti, Alfred Linder, Brian G. Hutton, Edgar Stehli, Touch (Mike) Connors, Michael Hinn, Milburn Stone, Dennis Cross, Stanley Adams, Peter Whitney, Paul Newlan, Marian Seldes, Cloris Leachman, John Dierkes, Richard Keith, Andrew Duggan, Joel Ashley, Angie Dickinson, Roy Engel, Robert Strong, Clegg Hoyt, Carl Betz, Paul Fix"
After the Fox (DVD),103 min,Comedy,03/22/2016,Vittorio De Sica,"Britt Ekland, Victor Mature, Peter Sellers"
Uncle Buck (Blu-ray),100 min,Comedy,02/08/2011,John Hughes,"Jean Louisa Kelly, Amy Madigan, Gaby Hoffmann, Macaulay Culkin, John Candy"
Mystery Classics Volume 8 (DVD),293 min,Mystery & Suspense,01/01/1980,,"Ian Fleming, Arthur Wontner, Archie Duncan, Ronald Howard, Howard Marion-Crawford"
Funny Valentine (DVD),90 min,Comedy,01/24/2006,Jeff Oppenheim,"Anthony Michael Hall, Larry Storch, Lord Jamar, Marlo Marron, Ivan Martin"
The Hollywood Knights Movie Poster Beverly Hills Sex Comedy Antics 24X36,,,,,
Cheech & Chong's Next Movie (DVD),95 min,Comedy,09/02/2003,Tommy Chong,"Faith Minton, Betty Kennedy, Ed Peck, Lupe M Outiveros, Evelyn Guerrero, Peter Bromilow, Phil Hartman, Robert Ackerman, Shelby Chong, Susan Mechsner, Len Lawson, Thomas Chong, Sy Kramer, Cheech Marin, Jonathan Moore, Jake Steinfeld, Kim Hopkins, Tommy Chong, Don Bovingloh, Paul Mousy Gardner"
A La Mala (DVD),99,Comedy,08/04/2015,Pedro Pablo Ibarra,Aislinn Derbez
"Yours, Mine & Ours (DVD)",88 min,Comedy,,Raja Gosnell,"Rene Russo, David Koechner, Rip Torn, Ty Panitz Ruth, Little JJ, Dennis Quaid, Jerry O'Connell, Linda Hunt"
ALIEN ANTHOLOGY,477 min,Documentary & Educational,10/26/2010,Jean-Pierre Jeunet,"Holt McCallany, Harry Dean Stanton, Charles Dutton, Bill Paxton, John Hurt, David St. James, Cynthia Scott, Ricco Ross, Carolyn Campbell, Marlene Bush, Daniel Kash, Tom Skerritt, Christopher Fairbank, Michael Wincott, Al Matthews, Dominique Pinon, Ron Perlman, Danny Webb, Ralph Brown, Leland Orser, Kim Flowers, Brian Glover, Pete Postlethwaite, Ian Holm, Jenette Goldstein, Tip Tipping, Brad Dourif, Dan Hedaya, Paul Reiser, Veronica Cartwright, Mark Rolston, Yaphet Kotto, Colette Hiller, J. E. Freeman, Christopher John Fields, Michael Biehn, Charles Dance, Winona Ryder, Carl Chase, Raymond Cruz, Helen Horton, Vincenzo Nicoli, Bolaji Badejo, Carrie Henn, Leon Herbert, Paul McGann, Gary Dourdan, William Hope"
Backdraft (DVD),135,Action & Adventure,09/06/2005,Todd Hallowell,"Robert De Niro, Donald Sutherland, Jennifer Jason Leigh, Kurt Russell, William Baldwin"
The Devil's Disciple (DVD),83 min,Action & Adventure,11/24/2015,Guy Hamilton,"Kirk Douglas, Burt Lancaster, Laurence Olivier"
Dead Poets Society (DVD),129 min,"Drama, Anime & Animation",11/10/1998,Peter Weir,"Gale Hansen, James Waterson, Matt Carey, Josh Charles, Ethan Hawke, Robert Sean Leonard, Robin Williams"
The White Stripes: Under Great White Northern Lights (Blu-ray),92 min,Documentary,,Emmett Malloy,"The White Stripes, Jack White, Meg White"
Miller's Crossing (DVD),115,Drama,02/06/2007,Joel Coen,"Albert Finney, J. E. Freeman, John Turturro, Jon Polito, Gabriel Byrne, Marcia Gay Harden"
Lifeforce (Blu-ray + DVD),116 min,Horror,09/09/2014,Tobe Hooper,"Steve Railsback, Patrick Stewart, Peter Firth, Frank Finlay, Mathilda May"
The Stewardesses 3D (DVD),93,"Sci-Fi & Fantasy, Drama, Comedy",,,"Angelique de Moulin, Christina Hart"
Pretty Woman-10th Anniversary ( (DVD)),119 MINUTE,Comedy,02/01/2000,Garry Marshall,"Laura San Giacomo, Jason Alexander, Richard Gere, Julia Roberts, Ralph Bellamy"
Time Bandits (DVD),116 min,"Sci-Fi & Fantasy, Drama, Action & Adventure",12/09/2014,Julian Doyle,"Malcolm Dixon, Terry Gilliam, Kenny Baker, Mike Edmonds, Tiny Ross, Katherine Helmond, Ian Holm, Sean Connery, Shelley Duvall, John Cleese"
Chicken Run (DVD),84,Anime & Animation,11/21/2000,"Nick Park, Peter Lord","Jane Horrocks, Julia Sawalha, Lynn Ferguson, Tony Haygarth, Mel Gibson, Lisa Kay, Imelda Staunton, John Sharian, Miranda Richardson"
Phantom Thread (Blu-ray + DVD + Digital),130 min,Drama,,Paul Thomas Anderson,"Daniel Day-Lewis, Vicky Krieps, Lesley Manville"
Night School (Blu-ray + DVD),,Comedy,,Malcolm D. Lee,"Donna Biscoe, Tiffany Haddish, Keith David, Rob Riggle, Megalyn Echikunwoke, Taran Killam, Mary Lynn Rajskub, Romany Malco, Kevin Hart"
Sin Nombre (DVD),96 min,"Drama, Action & Adventure",09/01/2009,Cary Fukunaga,"Tenoch Huerta Mej a, Gerardo Taracena, Diana Garcia, Kristyan Ferrer, Tenoch Huerta Mejía, Edgar Flores, Luis Fernando Pena, Tenoch Huerta Mejia, Hector Jimenez, Paulina Gaitan, Kristian Ferrer"
Punch-Drunk Love (Single Disc Edition),95 mins.,,12/02/2003,,"Julie Hermelin, Mary Rajskub, Adam Sandler, Emily Watson, Rico Bueno, Luis Guzm?n, Philip Hoffman, Hazel Mailloux"
"If It's Tuesday, This Must Be Belgium (DVD)",99 min,Comedy,06/21/2016,Mel Stuart,"Murray Hamilton, Suzanne Pleshette, Ian McShane"
Three Amigos! (DVD),108 min,Comedy,06/17/2013,John Landis,"Alfonso Arau, Martin Short, Steve Martin, Chevy Chase, Patrice Martinez"
What Goes Around Comes Around / Love In The Nick Of Tyme / Mr. Right Now (DVD),346 min,Romance,02/26/2013,David E. Talbert,"Morris Chestnut, Lawrence-Hilton Jacobs, Reagan Gomez, Avant, Kesha Ealy"
The 5th Wave (DVD),112 min,"Drama, Action & Adventure",05/03/2016,J Blakeson,"Chloe Grace Moretz, Matthew Zuk, Gabriela Lopez, Bailey Anne Borders, Nick Robinson, Ron Livingston"
All I See Is You (DVD),110 min,Drama,,Marc Forster,"Miquel Fernandez, Jason Clarke, Ahna O'Reilly, Danny Huston, Blake Lively, Yvonne Strahovski, Wes Chatham"
Laurel & Hardy: The Essential Collection (DVD),2092,Comedy,10/25/2011,Hal Roach,"Stan Laurel,Oliver Hardy,Dick Van Dyke,Jerry Lewis,Tim Conway"
RoboCop Trilogy Collection (Blu-ray),325 min,Sci-Fi & Fantasy,05/06/2014,Fred Dekker,"Robert Burke, Galyn Gorg, Gabriel Damon, Jesse D. Goins, Remi Ryan, Rip Torn, John Castle, Nancy Allen, Del Zamora, Lee de Broux, Tom Noonan, Jill Hennessy, Stephen Root, Dan O'Herlihy, Calvin Jung, CCH Pounder, Bruce Locke, Ray Wise, Stanley Anderson, Roger Aaron Brown, Ronny Cox, Daniel Von Bargen, Miguel Ferrer, Kurtwood Smith, Jeff McCarthy, John Ingle, Mark Rolston, Bradley Whitford, Paul McCrane, Rick Lieberman, Belinda Bauer, John Glover, Mako"
The Hobbit: The Battle of the Five Armies (Blu-ray),144,Sci-Fi & Fantasy,12/31/2015,Peter Jackson,"Stephen Hunter, Ken Stott, Martin Freeman, James Nesbitt, William Kircher, Dean O'Gorman, Richard Armitage, Sir Ian McKellen, Aidan Turner, Graham McTavish"
"Movie 4 Pack - 20,000 Leagues Under the Sea / The Dinosaur Hunter / Kidnapped / The Prince and the Pauper",450,Action & Adventure,07/15/2008,,"Richard Crenna, Ben Cross, Christopher Plummer, Alison Pill, Armand Assante, Aidan Quinn, Alan Bates"
Dazed and Confused (DVD),103 min,Comedy,11/02/2004,Richard Linklater,"Marissa Ribisi, Deena Martin, Wiley Wiggins, Joey Lauren Adams, Rory Cochrane, Jason London, Adam Goldberg, Milla Jovovich, Esteban Louis Powell"
Pitch Perfect: Aca-Amazing 2-Movie Collection (Blu-ray + Digital Copy),227,Comedy,01/26/2016,,"Anna Kendrick, Anna Camp, Brittany Snow, Rebel Wilson, Alexis Knapp, Ester Dean, Elizabeth Banks, Skylar Astin"
ABBA: The Movie (DVD),95 mins.,Music & Performance,,Lasse Hallstrom,"Pierre Starhe, Anni-Frid Lyngstad, Bruce Barry, Robert Hughes, Benny Andersson, Agnetha Fältskog, Bjorn Ulvaeus, Björn Ulvaeus, Stig Andersson"
The Nanny (DVD),93 min,"Foreign, Horror, Mystery & Suspense",04/08/2008,Seth Holt,"James Villiers, Bette Davis, Wendy Craig, Sandra Power, Jill Bennett, William Dix"
Strike Me Pink (DVD),100 min,Music & Performance,,Norman Taurog,"Eddie Cantor, Sally Eilers"
Project X (Other),88,Comedy,06/19/2012,Nima Nourizadeh,"Jonathan Daniel Brown, Kirby Bliss Blanton, Oliver Cooper, Dax Flame, Thomas Mann"
Step Up: Revolution (DVD),99,Music & Performance,11/27/2012,Scott Speer,"Misha Gabriel, Kathryn McCormick, Stephen Boss, Stephen ""Twitch"" Boss, Ryan Guzman, Peter Gallagher"
"Signed, Sealed, Delivered for Christmas (DVD)",90 min,"Horror, Romance, Mystery & Suspense",11/25/2014,Kevin Fair,"Kristin Booth, Rob Estes, Geoff Gustafson, Crystal Lowe, Eric Mabius, Marion Ross, April Telek"
Dirty Dancing (DVD),105,Drama,02/07/2017,Emile Ardolino,"Jerry Orbach, Patrick Swayze, Jack Weston, Jane Bruckner, Cynthia Rhodes, Cousin Brucie Morrow, Charles Honi Coles, Jennifer Grey"
Persuasion (DVD),93 min,Drama,12/18/2012,Adrian Shergold,"Julia Davis, Alice Krige, Sally Hawkins, Amanda Hale, Rupert Penry-Jones"
Zapped! (DVD),98 min,"Sci-Fi & Fantasy, Comedy",,Robert J. Rosenthal,"Scatman Crothers, Willie Aames"
Safeword (DVD),90 min,Horror,02/10/2015,Chris Soth,"Stephanie Michelle Edmonds, Daniel Allen Kent, Justus Zimmerman, Jill Evyn, Jaxdan Mays"
Safe Haven (Blu-ray),116 min,Drama,05/07/2013,Lasse Hallstr m,"David Lyons, Mimi Kirkland, Colin Dunne, Jean Butler, Cobie Smulders, Maria Pages, Eileen Ivers, Josh Duhamel, Jasper Grey, Noah Lomax, Julianne Hough"
All Of Me (DVD),93 min,Sci-Fi & Fantasy,06/02/2003,Carl Reiner,"Richard Libertini, Else Blangsted, Madolyn Smith, Steve Martin, Edward C. Carfagno, Willie D. Burton, Chris Carpenter, Lily Tomlin, Donah Bassett, Marty P. Ewing, Albert Bettcher, Victoria Tennant"
Blue Crush 2 (DVD),120 min,Romance,06/07/2011,Mike Elliott,"Chris Fisher, Elizabeth Mathis, Ben Milliken, Sasha Jackson, Patrick Lyster, Sharni Vinson"
Dial M for Murder,106 min,Classics,10/17/2007,,
In The Mood (DVD),98 min,Comedy,06/04/2010,Phil Alden Robinson,"Betty Jinnette, Beverly D'Angelo, Michael Constantine, Betty Jinett, Talia Balsam, Patrick Dempsey"
Rio Bravo (Blu-ray),141 min,Western,06/02/2015,Howard Hawks,"John Wayne, Rick Nelson, Dean Martin"
The Cheetah Girls (DVD),93 min,"Kids & Family, Comedy, Anime & Animation",06/29/2004,Oz Scott,"Lori Anne Alter, Raven Symone, Raven, Adrienne Bailon, Kiely Alexis Williams, Kiely Williams, Vince Corazza, Lynn Whitfield, Rothaford Gray, Sabrina Bryan, Juan Chioran, Lori Alter, Cappuccino"
Silent Running (Blu-ray),90,Sci-Fi & Fantasy,04/07/2015,Douglas Trumbull,"Ron Rifkin, Bruce Dern, Cliff Potts"
Percy Jackson Double Feature (DVD),224,Sci-Fi & Fantasy,10/07/2014,Chris Columbus,"Alexandra Daddario, Pierce Brosnan, Jake Abel, Brandon T. Jackson, Sean Bean, Logan Lerman"
Threesome (DVD),94 mins.,"Comedy, Romance, Drama",,Andrew Fleming,Josh Charles
The Perils of Pauline (DVD),,"Drama, Comedy",,Louis Gasnier,"Eleanor Woodruff, Edward Jos?, Pearl White, Crane Wilbur, Paul Panzer, Francis Carlyle, Clifford Bruce, Sam Ryan, Milton Berle, Donald MacKenzie"
Thomas And The Magic Railroad (DVD),85 min,Animation & Cartoons,10/31/2000,Britt Allcroft,"Michael Rodgers, Alec Baldwin, Jared Wall, Didi Conn, Eddie Glen, Neil Crone, Paul Ryan, Peter Fonda, Cody McMains, Mara Wilson, Laura Bower, Russell Means, Michael E. Rodgers, Colin Cunningham, Susan Roman, Colm Feore"
Olympus Has Fallen (DVD),120 min,Action & Adventure,08/13/2013,Antoine Fuqua,"Elliott Grey, Morgan Freeman, Robert Forster, Ethan Hawke, Angela Bassett, Aaron Eckhart, Gerard Butler, Melissa Leo, Bill Stinchcomb"
Shimmer And Shine: Magical Pets Of Zahramay Falls (DVD),88 mins.,"Kids & Family, Action & Adventure, Anime & Animation",,,Magical Pets Of Zahramay
A Troll in Central Park (DVD),76,Anime & Animation,02/19/2002,Gary Goldman,"Philip Glasser, Hayley Mills, Tawney Sunshine Glover, Dom DeLuise, Stu Krieger, Cloris Leachman, Phillip Glasser"
Eddie Murphy Movie Poster Coming To America Comedy New York City 24X36,,,,,
Carmen: A Hip Hopera (DVD),88 min,Drama,08/20/2002,Loretha Jones,"Maurice Smith, Rah Digga, Beyoncé Knowles, Mekhi Phifer, Rah Digga (Rah Digga), Bow Wow, Mos Def, Casey Lee, Jermaine Dupri"
Epic Movie (DVD),93 min,Comedy,05/22/2007,Aaron Seltzer,"Jennifer Coolidge, Adam Campbell, Jayma Mays, Faune Chambers, Kal Penn, Jill Latiano"
Yankee Doodle Dandy (Special Edition) (DVD),126 min,"Drama, Romance, Music & Performance",09/30/2003,Michael Curtiz,"Joan Leslie, Walter Huston, James Cagney, Robert Buckner, Glen Cavender, Brooks Benedict, Richard Whorf, Irene Manning"
Mary and The Witch's Flower (Blu-ray + DVD + Digital),103 mins.,Anime & Animation,,"Hiromasa Yonebayashi, Giles New","Ewen Bremner, Kate Winslet, Jim Broadbent, Ruby Barnhill"
(500) Days of Summer (DVD),95 min,Comedy,12/22/2009,Marc Webb,"Charles Walker, Valente Rodriguez, Joseph Gordon-Levitt, Matthew Gray Gubler, Ian Reed Kesler, Minka Kelly, Nicole Vicius, Darryl Alan Reed, Clark Gregg, Yvette Nicole Brown, Zooey Deschanel, Patricia Belcher, Chloe Grace Moretz"
Here On Earth (DVD),97,Drama,01/15/2008,Ron Stein,"Chris Klein, Tac Fitzgerald, Josh Hartnett, Bruce Greenwood, Leelee Sobieski"
Treasure Buddies (DVD),92 min,"Comedy, Anime & Animation",01/31/2012,Robert Vince,"Mo Gallini, Lochlyn Munro, Mason Cook, Ranya Jaber, Adam Alexi-Malle, Richard Riehle, Christopher Maleki"
The Lucky One (Other),100,Drama,08/28/2012,Scott Hicks,"Blythe Danner, Taylor Schilling, Adam Le Fevre, Robert Hayes, Anne Mckenzie, Adam LeFevre, Jay R. Ferguson, Zac Efron, Riley Thomas Stewart, Russell Durham Comegys"
Joe The King (DVD),100 min,Drama,02/15/2000,Frank Whaley,"Peter Tambakis, Travis Feretic, Richard Bright, Benjamin Stix, Camryn Manheim, Linda Key, Noah Fleiss, Ethan Hawke, John Leguizamo, Kate Mara, Jenny Robertson, Michael Taylor, Amy Wright, John D'Aquino, Caitlin Clarke, Alice Blythe, Harlee Ott, Karen Young, Rob Bergenstock, Michael Williams, Val Kilmer"
Brenda Jackson's Truly Everlasting (DVD),113,Drama,05/15/2012,"Gerald Jackson, Jr.","Omar Dixon, Kenny Rogers, Mikki Marbra, Charte Jones"
X-Men: The Last Stand (Blu-ray),104 mins.,Action & Adventure,04/19/2016,Brett Ratner,"Hugh Jackman, Halle Berry, Ian McKellen, Patrick Stewart, Famke Janssen, Anna Paquin"
Night At The Museum (Blu-ray + DVD + Digital HD),110,Comedy,03/10/2015,Shawn Levy,"Ben Stiller, Amy Adams, Owen Wilson, Robin Williams, Dick Van Dyke, Mickey Rooney"
Andre (DVD),94 min,"Kids & Family, Drama, Action & Adventure",,George Miller,"Tina Majorino, Aidan Pendleton, Kristian Ayre, Shirley Broderick, Keith Carradine, Shane Meier, Andrea Libman, Chelsea Field"
The Nut Job And The Nut Job 2: Nutty By Nature - 2-Movie Collection (DVD),178 min,Childrens,,Cal Brunker,
The Harder They Come,105 min,Drama,05/04/2010,Perry Henzell,"Janet Barkley, Jimmy Cliff, Winston Stona, Bobby Charlton, Carl Bradshaw"
The Last Waltz (Blu-ray),117 min,Documentary,06/20/2006,Martin Scorsese,"Neil Young, Bob Dylan, Ringo Starr, Van Morrison, Ron Wood, Emmylou Harris, Dr John, Eric Clapton, Robbie Robertson, Neil Diamond, The Staples, Pinetop Perkins, Mavis Staples, Joni Mitchell"
Little House On The Prairie: Complete Set (DVD),,,,,
Doris Day & Rock Hudson Romantic Comedy Collection (Blu-ray),310,Comedy,04/19/2016,Michael Gordon,"Tony Randall, Valerie Allen, Marcel Dalio, Alex Gerry, William Schallert, Rock Hudson, Mary McCarty, Julia Meade, Doris Day, Thelma Ritter, Nick Adams, Lee Patrick, Hayden Rorke, Allen Jenkins"
A Child is Waiting (DVD),102 min,Drama,11/24/2015,John Cassavetes,"Gena Rowlands, Burt Lancaster"
Britney Spears Greatest Hits: My Prerogative (DVD),160 mins.,Music & Performance,11/09/2004,Dave Meyers,"Britney Spears, Tyson Beckford"
Jimi: All Is By My Side (DVD),116 min,Music & Performance,01/13/2015,John Ridley,"Imogen Poots, André Benjamin, Hayley Atwell, Andrew Buckley, Ashley Charles"
The Adjustment Bureau (Blu-ray + DVD),106 min,"Drama, Romance",06/21/2011,George Nolfi,"Emily Blunt, John Slattery, Matt Damon, Terence Stamp, Jon Stewart, Chuck Scarborough, Captain Gregory P Hitchen, Michael Kelly, Lawrence R Leritz, Anthony Mackie"
Fast Food Nation ( (DVD)),113 min,"Drama, Comedy",03/06/2007,Richard Linklater,"Greg Kinnear, Patricia Arquette, Bobby Cannavale, Avril Lavigne, Ethan Hawke, Paul Dano, Lou Taylor Pucci, Ana Claudia Talanc n, Kris Kristofferson, Esai Morales, Catalina Sandino Moreno, Wilmer Valderrama, Luis Guzman, Ana Claudia Talancón, Ashley Johnson"
Storm of the Century,795 min,Drama,,Craig Baxley,"Luke Perry, Colm Feore"
Laurel & Hardy: Early Silent Classics 1-4 (DVD),,Comedy,01/29/2008,,"Oliver Hardy, Stan Laurel"
The Straight Story (DVD),111 min,Anime & Animation,11/07/2000,David Lynch,"Max--The Wonder Dog, Joseph A Carpenter, Jennifer Edwards-Hughes, Everett McGill, Dan Flannery, Kevin P. Farley, David Lynch, Sissy Spacek, Freddie Francis, Ed Grennan, Donald Wiegert, Tracey Maloney, Jack Walsh, Jane Galloway Heitz, Gil Pearson, Richard Farnsworth"
Shipmates Forever (DVD),109 min,"Drama, Music & Performance",07/17/2009,Frank Borzage,"Ruby Keeler, Henry Kolker, Dick Powell, Lewis Stone, Ross Alexander, Mary Treen, Harry Seymour, Joseph Crehan, Eddie Acuff, Dick Foran"
Prince Of Persia: The Sands Of Time (DVD),116 min,Anime & Animation,09/14/2010,Mike Newell,"Gisli Orn Gardarsson, Gemma Arterton, Steve Toussaint, Alfred Molina, Ben Kingsley, Jake Gyllenhaal"
This Means War (DVD),98 min,Comedy,05/22/2012,McG,"Reese Witherspoon, Chris Pine, Til Schweiger, Chelsea Handler, Tom Hardy"
Black Clover: Season One - Part One (Blu-ray + DVD),250 min,Anime & Animation,,,"Dallas Reid, Jill Harris"
Flashdance,95,"Drama, Romance, Music & Performance",10/08/2002,Adrian Lyne,"Belinda Bauer, Jennifer Beals, Lilia Skala, Michael Nouri"
Disney Classic Short Films: Three Little Pigs (DVD),60 min,"Kids & Family, Anime & Animation",04/07/2009,,
Spider-man: Homecoming (Blu-ray + DVD + Digital),133 min,Action & Adventure,"October 17, 2017",Jon Watts,"Tom Holland, Michael Keaton, Robert Downey Jr."
Dan in Real Life (DVD),98 min,Anime & Animation,03/11/2008,Peter Hedges,"Alison Pill, Steve Carell, Emily Blunt, Bernie McInerney, Brittany Robertson, Dane Cook, Juliette Binoche"
The Scent Of Green Papaya (DVD),104 min,Drama,04/26/2011,Tran Anh Hung,"Tran Nu Yên-Khê, Vo Thi Hai, Tran Nu Y n-Kh, Nguyen Van Oanh, Vuong Hoa Hoi, Nguyen Thi Thanh Tra, Souvannavong Keo, Neth Gerard, Nguyen Xuan Thu, Tran Nu Yen-Khe, Nguyen Anh Hoa, Talisman Vantha, Truong Thi Loc, Bui Lam Huy, Do Nhat, Lu Man San"
Atlantis: The Lost Empire (DVD),95 min,Anime & Animation,01/29/2002,Gary Trousdale,"Steven Barr, Don Novello, Jim Cummings, Sarah Eyden, James Coffey, Michael J. Fox, Patrick Pinney, Steve Barr, Tab Murphy, Dawn Heusser, Cree Summer, James Garner, Bob Bergen, Leonard Nimoy, Liz Constantine, Catherine Bott, Dessislava Stafanova"
Before Midnight (DVD),109,Drama,10/22/2013,Richard Linklater,"Pierre Woodman, Yannis Papadopoulos, Judith, Julie Delpy, Charlotte Prior, Katy, Seamus Davey-Fitzpatrick, Ethan Hawke, Sharon Bright, Xenia Kalogeropoulou, Jennifer Prior, Monica"
Louis L'Amour's The Quick And The Dead (DVD),90 min,"Western, Romance, Action & Adventure",03/28/2011,Robert Day,"Kate Capshaw, Tom Conti, Kenny Morrison, Sam Elliott, Matt Clark, Jeffrey M. Meyer"
Crooklyn / Ws (DVD),114 min,Comedy,02/23/1999,Spike Lee,"Jose Zuniga, Delroy Lindo, Alfre Woodard, Carlton Williams, Zelda Harris, David Patrick Kelly"
The Avengers (Blu-ray + Digital),143 min,Action & Adventure,,"Joss Whedon, Kevin Feige","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgård, Samuel L. Jackson"
Who Framed Roger Rabbit (25th Anniversary Edition) (DVD + Blu-ray) (Widescreen),104 min,Action & Adventure,03/12/2013,Ian,"Christopher Lloyd, Joanna Cassidy, Alan Tilvern, Bob Hoskins, Cherry Davis, Stubby Kaye, Mike Edmonds, Jack Angel, Wayne Allwine, David Lander, Charles Fleischer"
Nitty Gritty Dirt Band: Greatest Hits Live (DVD),75 min,Music & Performance,11/20/2007,,Stella Parton
The Count Of Monte Cristo (Blu-ray),131 min,Anime & Animation,09/13/2011,Kevin Reynolds,"J B Blanc, Michel Carliez, Malcolm Woolridge, Alex Carey, Brendan Costello, Nigel Trevessey, Barry Cassin, Briana Corrigan, Lars Vinther, Cassidy Watkins, John Byrne, Ian Wilson, Simon Wicker, Kitty Veevers, Luis Guzman, Steve Barnes, James Caviezel, Sara Bennett, Guy Pearce, Jean Bourne, Gary Barber, Murray Barber, Richard Bradshaw, Christopher Adamson, Dagmara Dominczyk, Tim Wooster, Chris Brigham, Roger Birnbaum, Paul Weston, Marilyn Anderson, Richard Harris, Doug Bishop, Christopher Womack, Arthur Wooster, Tim Caplan, Guy Carleton"
Sound City (DVD),106 mins.,,,,"Neil Young, Butch Vig, Nick Raskulinecz, John Fogerty, Tom Petty, Lars Ulrich, Joe Barresi, Jim Scott, Shivaun O'Brien, Lee Ving, Trent Reznor, Mick Fleetwood, Stevie Nicks, Kevin Cronin, Rick Springfield, Dave Grohl, Joshua Homme, Jim Keltner, Rick Rubin"
Roger Waters: The Wall (Blu-ray),133,Documentary,12/01/2015,"Roger Waters, Sean Evans","Roger Waters, Dave Kilminster, Snowy White, G.E. Smith, Jon Carin, Harry Waters"
Classic Country Comedy,52,Comedy,04/20/2004,,"Archie Campbell, Danny Thomas, Foster Brooks, George Lindsey, Jeff Foxworthy, Jerry Clower, Mel Tillis, Minnie Pearl, Ray Stevens, Roger Miller, The Statler Brothers"
House Of Dark Shadows (DVD),97,Horror,10/30/2012,Dan Curtis,"Dennis Patrick, Nancy Barrett, Roger Davis, Kathryn Leigh Scott, Jonathan Frid"
Eragon (Blu-ray),102 min,Adventure,03/20/2007,Stefen Fangmeier,"Matt Devere, Tam s De k, Mate Haumann, Djimon Hounsou, Andrea Fazekas, Jeremy Irons, Tamás Deák, Ed Speleers, Sienna Guillory, Robert Carlyle, Michael A. Mehlmann"
The Big Bang Theory: Season 1 - 5 (DVD),,,,,
Cloudy with a Chance of Meatballs (Blu-ray),90 min,Kids & Family,01/05/2010,Phil Lord,"Bill Hader, Angela V Shelton, James Caan, Andy Samberg, Bruce Campbell, Anna Faris"
Fun with Dick & Jane / Guess Who / Hitch (DVD),313,"Comedy, Special Interests",06/16/2015,Dean Parisot,"Will Smith, Eva Mendes, Kevin James, Jim Carrey, Tea Leoni, Alec Baldwin, Ashton Kutcher, Bernie Mac, Zoe Saldana"
Deepwater Horizon,107,Action & Adventure,01/10/2017,Peter Berg,"Mark Wahlberg, Kurt Russell, John Malkovich, Gina Rodriguez, Dylan O'Brien, Kate Hudson"
