name,duration,genre,release_date,directors,stars
Mamma Mia! The Movie (DVD),109 min,Music & Performance,12/16/2008,Phyllida Lloyd,"Amanda Seyfried, Joanna Lumley, Enzo Squillino, June Whitfield, Colin Firth, Patrick Barlow, Nancy Baldwin, Jane Horrocks, Mo Gaffney, Harriet Thorpe, Julia Sawalha, Meryl Streep, Norma Atallah, Stellan Skarsgard, Colin Davis, Helen Lederer, Stellan Skarsg rd, Julie Walters, Miranda Richardson, Nathan Lane, Heather Emmanuel, Ashley Lilley, Pierce Brosnan, Juan Pablo Di Pace, Laurie Metcalf, Stellan Skarsgsrd, Christopher Ryan, Jennifer Saunders, Stellan Skarsgård"
None But The Brave (1965),106 mins.,Drama,05/13/2008,Frank Sinatra,"Tony Bill, Brad Dexter, Takeshi Kato, Sammy Jackson, Tatsuya Mihashi, Rafer Johnson, Richard Bakalyan, Clint Walker, Frank Sinatra, Tommy Sands"
The Curious Case of Benjamin Button (Blu-ray),165 mins.,Drama,,David Fincher,"Joshua DesRoches, Brad Pitt, Taraji Henson, Cate Blanchett, Eric West, Kimberly Scott, Eve Brent, Jason Flemyng, Julia Ormond, Taraji P. Henson, Donna Duplantier, Peter Donald Badalamenti II"
The Andy Hardy Film Collection: Volume 2 (DVD),871 min,Comedy,,Howard W. Koch,"Hal Hackett, Vaughn Taylor, John King, John Walsh, Marta Linden, Halliwell Hobbes, Sidney Miller, Jean Porter, Frank Darien, Virginia Grey, Lucien Littlefield, Harlan Briggs, Lewis Stone, Lee Wilde, Mary Howard, Susan Peters, Lana Turner, Allen Vincent, Dorothy Ford, Raymond Hatton, Frank Ferguson, Herbert Marshall, Harvey Stephens, Mickey Rooney, Judy Garland, Jimmy Bates, Jackie Moran, Bobby Blake, Steve Cornell, Joseph Crehan, Connie Gilchrist, Don Castle, Erville Alderson, William Soderling, Patricia Breslin, Jacqueline Laurent, Donna Reed, Bonita Granville, Mary Currier, Geraldine Wall, Aileen Pringle, Gene Reynolds, George Breakston, Hal LeSeur, George Irving, Lionel Barrymore, Charley Grapewin, Tom Dugan, Betty Wells, Terry Kilburn, Marie Blake, Helen Gilbert, Jerry Colonna, Gina Gillespie, Emory Parnell, Addison Richards, Ann Rutherford, Jonathan Hale, Betty Ross Clarke, Fay Holden, Selmer Jackson, Cecilia Parker, Frieda Inescort, Don Douglas, Marsha Hunt, Robert Emmett Keane, Joey Forman, William Leslie, Howard Hickman, Olaf Hytten, Dick Simmons, Eric Linden, Donald Briggs, Tommy Dix, Leonard Penn, Keye Luke, Jeanne Baird, Teddy Rooney, Clinton Sundberg, Robert Whitney, Sara Haden, Todd Karns, Spring Byington, Julie Haydon, Janet Beecher, Ruth Hussey, Minor Watson, Boyd Crawford, Robert Pittard, Lina Romay, Margaret Marquis, William Lundigan, Arthur Space, Lyn Wilde"
Open Range (Collector's Edition) (DVD),139 min,Western,01/20/2004,Kevin Costner,"Herb Kohler, Annette Bening, Julian Richings, Robert Duvall, Cliff Saunders, Kevin Costner, Peter MacNeill, Michael Jeter, Michael Gambon"
John Carpenter Horror Collection (DVD),405 min,"Sci-Fi & Fantasy, Drama",09/15/2009,Jeff Imada,"Raymond St. Jacques, Dennis Dun, Lisa Blount, Peter Jason, Sy Richardson, Roddy Piper, Thomas Dekker, Norbert Weisser, Jameson Parker, David Clennon, Christopher Reeve, Pippa Pearthree, George Flower (Buck), Jason Robards III, Ann Howard, Jessie Lawrence Ferguson, Mark Hamill, Ann Yen, Kirstie Alley, Lindsey Haun, Kurt Russell, Thom Bray, Susan Barnes, T.K. Carter, Dirk Blocker, Wendy Brainard, Meredith Salenger, Donald Moffat, Norman Alden, Constance Forslund, Susan Blanchard, Larry Franco, Charles Hallahan, Joanna Merlin, Wilford Brimley, Richard Masur, Cody Dorkin, Joel Polis, John Lawrence, Thomas G. Waites, Michael Pare', Linda Kozlowski, Ken Wright, Victor Wong, Keith David, Meg Foster, Alice Cooper, Donald Pleasence, Richard Dysart, Peter Maloney, Karen Kahn"
Anastasia (Blu-ray),94,Family,10/06/2015,,
The Devil's Wedding Night / The Witches' Mountain (DVD),163 mins.,Horror,09/24/2013,Raul Artigot,"Mark Damon, Patty Shepard"
Transformers: Dark Of The Moon (4K Ultra HD + Blu-ray + Digital HD ),154 min,Drama,,Michael Bay,"Shia LaBeouf , Rosie Huntington-Whiteley , Josh Duhamel , Tyrese Gibson , Patrick Dempsey , John Malkovich , John Turturro , Ken Jeong , Frances McDormand , Leonard Nimoy , Peter Cullen , Hugo Weaving"
Me Before You (Blu-ray),110 min,Drama,,Thea Sharrock,"Janet McTeer, Sam Claflin, Charles Dance, Emilia Clarke, Matthew Lewis"
Dumbo (DVD),64 min,Anime & Animation,09/20/2011,Bill Roberts,"Delilah Stone, Joe Grant, Monika Sweetheart, Bill Fletcher, Julian StJox, Sue Diamond, Edward Brophy, Cliff Edwards, Sterling Holloway, Lilly Lixx, Verna Felton, Herman Bing, Eddie Holden, Bill Sheets, Lauren Phoenix, Crystal Ray, Ed Brophy, Shane D., Boz, John McLeish, Edward S. Brophy, Hall Johnson Choir, J. Monty, Sledge Hammer, Byron Long"
Dead End Kids Go To War (DVD),90 mins.,Action & Adventure,04/28/2015,Lewis D. Collins,"Billy Halop, Huntz Hall, Gabriel Dell"
Johnny Tremain (DVD),80 min,Drama,08/02/2005,Robert Stevenson,"Jeff York, Sebastian Cabot, Dick Beymer, Luana Patten, Richard Beymer, Hal Stalmaster"
Just The Way You Are (DVD),95 min,Romance,05/07/2009,Edouard Molinaro,"Andre Oumansky, Tim Daly, Alexandra Paul, Andre Dussollier, Michael Ontkean, Joyce Gordon, Gerard Jugnot, Robert Carradine, Kristy McNichol, Lance Guest, Billy Kearns, Wayne Robson, Kaki Hunter"
Lady and the Tramp (DVD),76 min,Anime & Animation,,"Hamilton Luske, Clyde Geronimi, Wilfred Jackson","Verna Felton, Lee Millar Jim, Peggy Lee, Larry Roberts, Stan Freberg, Barbara Luddy, George Givot, Bill Baucom, Bill Thompson"
High Strung (DVD),96 min,Drama,08/02/2016,Michael Damian,Jane Seymour
Notebook / Time Traveler's Wife (DVD),231,Drama,10/28/2014,Robert Schwentke,"Ryan Gosling, Rachel McAdams, James Garner, Eric Bana, Arliss Howard, Ron Livingston"
Highlander (DVD),94,"Sci-Fi & Fantasy, Drama, Action & Adventure",09/27/2016,,"Christopher Lambert, Roxanne Hart, Clancy Brown, Sean Connery"
Classic Sci-Fi Ultimate Collection Volume 1 (DVD),395,"Sci-Fi & Fantasy, Drama",04/05/2016,Virgil Vogel,"Robin Hughes, John Agar, Phil Chambers, Alan Napier, Rodd Redwing, Nestor Paiva, Hugh Beaumont, Cynthia Patrick"
Celebration Of Gospel: Taking You Higher (DVD),62 min,"Religion & Spirituality, Music & Performance",05/08/2007,,"Loretta Devine, Shirley Caesar, Fantasia Barrino, Yolanda Adams, Kirk Franklin, Fantasia"
Pacific Rim (DVD),131,"Sci-Fi & Fantasy, Action & Adventure",10/14/2014,Guillermo del Toro,"Idris Elba, Diego Klattenhoff, Charlie Hunnam, Rinko Kikuchi, Charlie Day"
The Border (DVD),107 min,"Drama, Action & Adventure",01/25/2005,Tony Richardson,"William Russ, Jack Nicholson, Michael Gomez, Manuel Viescas, Elpidia Carrillo, Stacey Pickren, Valerie Perrine, Harvey Keitel, Warren Oates, James Jeter, Alan Fudge, Floyd Levine, Lonny Chapman"
The Cutting Edge (Blu-ray),101 min,Romance,07/05/2011,Paul Michael Glaser,"Melanie Miller, Nahanni Johnstone, Moira Kelly, Kevin Peeks, Terry O'Quinn, D.B. Sweeney, Steve Sears, John Robinson, Dwier Brown, Roy Dotrice"
The Lego Batman Movie (4K Ultra HD + Blu-ray + Digital HD),104 mins.,"Sci-Fi & Fantasy, Kids & Family, Action & Adventure",,Chris McKay,"Will Arnett, Rosario Dawson, Zach Galifianakis, Ralph Fiennes, Michael Cera"
Peter Benchley's Creature (DVD),176 min,Horror,05/19/2015,Stuart Gillard,"Craig T. Nelson, Giancarlo Esposito, Michael Michele, Colm Feore"
Planes (DVD + Digital Copy),90 min,Anime & Animation,11/12/2013,Klay Hall,"Anthony Edwards, Jon Cryer, Julia Louis-Dreyfus, Keith Richards, Brad Garrett, Dane Cook, Teri Hatcher, Val Kilmer, Stacy Keach, John Cleese"
The Enchanted Cottage (DVD),92 min,Drama,01/15/2010,John Cromwell,"Robert Clarke, Spring Byington, Robert Young, Mildred Natwick, Dorothy McGuire, Richard Gaines, Alec Englander, Carl Kent, Herbert Marshall, Virginia Belmont"
